method,distance,seed,proposal_scale,tolerance,n_samples,beta_mean,beta_median,beta_std,beta_q025,beta_q975,beta_width_norm,gamma_mean,gamma_median,gamma_std,gamma_q025,gamma_q975,gamma_width_norm,rho_mean,rho_median,rho_std,rho_q025,rho_q975,rho_width_norm,beta_mean_shift,gamma_mean_shift,rho_mean_shift,beta_std_ratio_vs_baseline,gamma_std_ratio_vs_baseline,rho_std_ratio_vs_baseline,beta_w1_vs_baseline,gamma_w1_vs_baseline,rho_w1_vs_baseline,epsilon,acc_rate
mcmc,mahalanobis,0.0,0.05,,4000,0.1782307398977352,0.1791759488080029,0.028478502421549246,0.12525951002174426,0.22841631195389542,0.21922761385598485,0.10183049879257153,0.10113220694261532,0.02268320308933618,0.06309378935502943,0.1436047421094339,0.4365384469903731,0.3173873323618046,0.31341314485084876,0.054583465686526694,0.21857314515342208,0.4255288959553843,0.23635333955564164,0.002936633242398845,0.013490405386740872,0.002206860171660774,0.9393422588637927,1.27434574101193,1.0137784115842383,0.003444654928537763,0.01350355504812995,0.0029966509709588394,1.0016743221020017,0.1332
mcmc,reweighted,0.0,0.05,,4000,0.17979839024647576,0.18055855493666828,0.03616227715673422,0.11101829015116466,0.2508819651266696,0.2783773393460047,0.09984372904622638,0.09556879356398294,0.028262941320691137,0.05595614709567423,0.15289785581617313,0.5439205593197207,0.3105484808476791,0.31566337678324385,0.06370882576874048,0.17062662752195057,0.4223542727918655,0.2758673078050296,0.004504283591139413,0.01150363564039572,0.004631991342464725,1.1927858637805906,1.5878162690975963,1.1832636748031407,0.006086104219578607,0.011979184995500245,0.00818906311240969,1.0697013887421292,0.1644
mcmc,euclidean,0.0,0.1,,4000,0.17692366753179636,0.17587614699034265,0.032691348744024074,0.12329145890326383,0.2422829815653712,0.25165811996712306,0.08777218498650176,0.0852552212934846,0.02072824984534702,0.0531691869420054,0.12876984492546087,0.3989153542680306,0.3119283997731279,0.3063170552541907,0.05345539932493754,0.19899020094508313,0.40443157184201034,0.23146866892418722,0.0016295608764600178,0.0005679084193288969,0.0032520724170159165,1.0782998670351092,1.164516175472033,0.9928268411804603,0.002975263851389534,0.0032349361158013116,0.004847109613228043,0.9562361445956326,0.0732
mcmc,mahalanobis,0.0,0.1,,4000,0.1722366909493993,0.17027169775322792,0.029130681631375874,0.12183354387311866,0.22454586065985943,0.2242480917540286,0.09845058374147411,0.09882163928767618,0.023397337768647507,0.052916586319676176,0.14075416418717043,0.45028197530164116,0.30283936509256787,0.29735957802228613,0.05748406773090067,0.2028972649508942,0.4076301783919571,0.24891331483912635,0.003057415705937039,0.010110490335643457,0.012341107097575965,0.9608539058975563,1.3144659340686657,1.0676512775922553,0.0036515098263709238,0.010917436667599695,0.012907000817926758,1.0016743221020017,0.0774
mcmc,reweighted,0.0,0.1,,4000,0.18319939946778246,0.1828838228517553,0.03706767420798488,0.11446792735783706,0.25190934558532346,0.2853470890961789,0.1057040123886201,0.10654236305841319,0.02449836572095082,0.059882834227631965,0.14917408236234198,0.4714712681232285,0.3104631586821074,0.3039409940366293,0.06386399759320444,0.18976746038487724,0.43893338144110683,0.27653922151471644,0.007905292812446119,0.01736391898278944,0.004717313508036447,1.2226497133152792,1.3763218490479938,1.1861456802556916,0.008571364543881646,0.017396114717279244,0.009941986037865206,1.0697013887421292,0.0862
mcmc,euclidean,0.0,0.2,,4000,0.1794602709596149,0.17284726637373782,0.03304657018608383,0.12532920812464,0.25922328780195725,0.2543926159030581,0.09416923962384992,0.09221304187559509,0.01795867629533095,0.06793057750918763,0.12545298949833766,0.34561488644662247,0.3149919138324435,0.3269980312938462,0.04671353021069381,0.2122798842507942,0.38570734902402093,0.2022755193145634,0.004166164304278547,0.005829146218019263,0.00018855835770031915,1.0900165825716952,1.008921119342526,0.8676101427575544,0.006609544255661357,0.005884430314476319,0.010634619460595249,0.9562361445956326,0.0228
mcmc,mahalanobis,0.0,0.2,,4000,0.17155872106153824,0.17088115515547195,0.032490047242223576,0.10748414364215349,0.23562742236332712,0.2501085002837525,0.10244094217972823,0.09707321399539862,0.023749020713602034,0.06251866448548629,0.14145281856761516,0.4570501167329377,0.3067729186042086,0.30196198154110593,0.054179550788607166,0.19399931890421596,0.4091686169122596,0.23460433674281508,0.0037353855937981018,0.01410084877389757,0.008407553585935257,1.0716600864520238,1.334223534497682,1.00627650238009,0.005325439628818159,0.014101715795652062,0.00877985895768931,1.0016743221020017,0.0254
mcmc,reweighted,0.0,0.2,,4000,0.1796378894121958,0.1709172159200636,0.04321319015580903,0.1075713104575836,0.27104218343595976,0.33265529291998436,0.10059042638654972,0.10226793890317017,0.020765828558640897,0.05901432254819187,0.136636361509331,0.3996385569425646,0.3167964832443389,0.31593589470842776,0.06430245678618265,0.19680970799981298,0.4417688035273235,0.27843780551292624,0.0043437827568594545,0.012250332980719064,0.0016160110541950656,1.4253549941921435,1.1666273532034213,1.1942891804642481,0.012112100831546943,0.012337384502236976,0.008339717034180637,1.0697013887421292,0.0286
mcmc,euclidean,1.0,0.05,,4000,0.175318184596515,0.17513275972532896,0.030187664805976525,0.11725400184819636,0.23563354242067724,0.23238475202582315,0.09520331184734607,0.09810079232568175,0.01861860950606476,0.05647198369257268,0.12628971396373462,0.3583153070087671,0.30774556150939314,0.3108583224803854,0.04775493316049658,0.2228168218488299,0.3986272234383701,0.20678492636508963,2.4077941178646256e-05,0.006863218441515412,0.007434910680750695,0.9957177111677067,1.0459962657907065,0.886952114085161,0.0014908977026962442,0.006968134793531433,0.008534506210632434,0.9562361445956326,0.1448
mcmc,mahalanobis,1.0,0.05,,4000,0.16460880908684514,0.1625879820050588,0.025834450831627966,0.11747879900149785,0.2236162535265639,0.19887369522675408,0.09919529944556998,0.09969902626887077,0.021458952144380396,0.057730604338439864,0.14188970657536606,0.4129777265695106,0.29247656122748567,0.29152874203834744,0.050487991940539795,0.2035908430389795,0.3869106274620735,0.21861941803285728,0.010685297568491209,0.010855206039739329,0.02270391096265817,0.8521301802135579,1.205567139881842,0.9377131999552083,0.010903165413326863,0.010964767589048371,0.022718024277311656,1.0016743221020017,0.1432
mcmc,reweighted,1.0,0.05,,4000,0.17674464080044192,0.17788195864119719,0.037673782476733905,0.11035662343191283,0.2600017192074,0.2900129127244496,0.09982665474382835,0.09878067078250852,0.02328673198242652,0.05874042623525152,0.14650544305091784,0.4481533659533539,0.3034767228901928,0.30718584532106075,0.060705432820978344,0.18711305302953726,0.4076040397905844,0.2628622348534844,0.0014505341451055698,0.011486561337997692,0.01170374929995105,1.242641744562397,1.3082520844616736,1.1274816739050708,0.0059267688263865675,0.011501366699145454,0.011746899808771876,1.0697013887421292,0.1732
mcmc,euclidean,1.0,0.1,,4000,0.17502105299671353,0.1777885922166484,0.031267174151676465,0.12051914794178413,0.22531960075762641,0.24069481884359084,0.08653434341248513,0.08387512344249076,0.019000911813099004,0.05589317092965996,0.12662593162506253,0.36567271833803494,0.30744322602529295,0.30658239999771514,0.051963021480657956,0.21390806734734624,0.39548145329140294,0.2250064832982313,0.0002730536586228183,0.0018057499933455262,0.007737246164850886,1.0313245254672907,1.06747406655938,0.9651089155883753,0.0029439709568218654,0.00247712008159462,0.007821282898383998,0.9562361445956326,0.0744
mcmc,mahalanobis,1.0,0.1,,4000,0.17253235398284955,0.17156393613281268,0.028949859126627286,0.115492915037336,0.2163182755266152,0.22285611946346676,0.09966973030111256,0.09994100312746057,0.023250345006692232,0.06046719031845049,0.14235573041192803,0.44745309827884766,0.30850423520473724,0.31038706746074207,0.055415846240399386,0.20919440442613904,0.4005976081256399,0.2399576530819912,0.0027617526724867947,0.011329636895281908,0.006676236985406592,0.9548896098278508,1.3062078587245647,1.0292382110880824,0.0032068601979774163,0.011377297173598372,0.006990222386601365,1.0016743221020017,0.075
